category,avg_rating,count
food trucks,4.21875,1008
vegan,4.218457943925234,856
street vendors,4.183908045977011,261
food stands,4.135933806146572,423
bubble tea,4.095667870036101,277
tapas/small plates,3.996590909090909,440
middle eastern,3.9829931972789114,588
cuban,3.9717314487632507,283
latin american,3.9617283950617286,810
cafes,3.956821480406386,2756
vegetarian,3.9417098445595853,1158
gluten-free,3.9407979407979408,777
juice bars & smoothies,3.9389162561576354,1015
korean,3.937625754527163,497
specialty food,3.9325062034739453,2015
halal,3.9226519337016574,362
mediterranean,3.9168646080760094,1263
wine bars,3.9162303664921465,955
beer bar,3.91328125,640
french,3.8856858846918487,503
thai,3.8820803295571578,971
desserts,3.878400435255713,1838
spanish,3.875874125874126,286
noodles,3.869109947643979,382
caribbean,3.8677966101694916,590
cocktail bars,3.8590747330960853,1405
greek,3.857509627727856,779
vietnamese,3.856807511737089,852
shopping,3.8475806451612904,620
indian,3.8305489260143197,838
ethnic food,3.8300970873786406,515
grocery,3.818892900120337,831
breweries,3.8181818181818183,407
wraps,3.803225806451613,310
soul food,3.7949907235621523,539
bakeries,3.7943356273160402,1889
gastropubs,3.787524366471735,513
asian fusion,3.748545572074984,1547
caterers,3.744293346284604,2059
sushi bars,3.742574257425743,1717
wine & spirits,3.7214532871972317,1156
beer,3.7214532871972317,1156
barbeque,3.720779220779221,1694
japanese,3.719672131147541,1830
cajun/creole,3.71614301191766,923
southern,3.7135627530364372,988
dive bars,3.6968085106382977,282
comfort food,3.677613941018767,746
seafood,3.6749081661486294,3539
venues & event spaces,3.6698595146871007,783
delis,3.6554534057668198,2393
salad,3.6533942558746735,3064
lounges,3.612230215827338,695
soup,3.608388312912347,1061
music venues,3.603515625,512
cheesesteaks,3.6009771986970684,614
pubs,3.591982820329277,1397
american (new),3.5907823519763817,6097
breakfast & brunch,3.5695624298765827,6239
active life,3.5458715596330275,327
sandwiches,3.5442266316041118,8366
convenience stores,3.52803738317757,535
mexican,3.5151086956521738,4600
italian,3.5100590422042424,4573
canadian (new),3.5,261
hot dogs,3.4896640826873386,774
coffee & tea,3.4839664528860386,4054
food delivery services,3.46234067207416,863
ice cream & frozen yogurt,3.4375,1088
donuts,3.413684210526316,475
bagels,3.4033333333333333,600
american (traditional),3.3997419830446,8139
steakhouses,3.395418326693227,1506
chinese,3.389870621647207,3169
diners,3.3781793842034804,1494
automotive,3.375,288
hotels & travel,3.366983372921615,421
gas stations,3.3638132295719845,257
pizza,3.3533060764133653,7093
hotels,3.299651567944251,287
sports bars,3.2595993322203674,1797
tacos,3.2490196078431373,1020
buffets,3.1310289389067525,622
chicken shop,3.069925742574257,808
chicken wings,2.9703304113283884,2966
burgers,2.934971611071682,5636
tex-mex,2.9200217627856366,919
fast food,2.6321847960444993,6472
